Views,Sentiment,Total Comments,Total BO Collection
99879481,0,203260,10500000000
127391192,0.11,28513,17880000000
121621069,0.02,159960,12080000000
72274385,0.11,31021,20700000000
77884547,0.01,79240,5880000000
5895611,0.16,1292,7920000000
108208739,0.03,105123,5580000000
9181263,0.24,12770,9220000000
3951384,0.21,11049,4710000000
65239587,0.21,58896,5850000000
48973980,0.06,17466,6270000000
32263156,0.29,70081,3770000000
81786231,0.09,81844,3610000000
83099504,0.08,86774,12300000000
35576819,0.07,15734,5580000000
53023025,0.13,116443,3410000000
32014917,0.02,46627,4310000000
29875112,0.06,57739,3410000000
85608221,0.02,64888,3900000000
19640395,0.11,8646,3420000000
2830691,0.07,1983,3780000000
4928221,0.03,3734,3740000000
561571,0.16,107,4220000000
77824330,0.24,89017,3210000000
124449720,0.14,65664,2960000000
27596968,0.31,8754,4050000000
42302553,0.16,19534,3080000000
96672251,0.14,38342,3160000000
52876372,0.26,52216,2900000000
4796583,0.06,1593,4600000000
9407096,0.12,5901,3970000000
16858232,0.16,10356,3200000000
112861018,0.1,134231,2930000000
17016913,0.11,18636,7440000000
10746456,0.3,1668,3180000000
83050738,0.27,83273,2650000000
19487324,0.39,655,3620000000
17697375,0,128,3400000000
68156543,0.28,39907,3000000000
96230399,0.25,45710,2570000000
75913445,0.18,53336,2850000000
60096538,0.18,80456,2080000000
89832204,0.14,52258,2320000000
6536481,0.14,11194,2650000000
51375822,0.23,22086,2110000000
12165466,0.18,2163,2580000000
6947781,0.26,3203,2300000000
42301426,0.2,16144,3880000000
66576284,0.2,67241,2100000000
2211549,0.08,49512,2230000000
73730492,0.18,85820,2180000000
104641764,0.12,51673,4510000000
112620348,0.05,139033,3270000000
303248,0.31,46,1950000000
13131249,0.04,2691,2160000000
1620684,0.03,410,2150000000
66546401,0.05,61381,2350000000
46356761,0.18,18638,2270000000
46202874,0.14,19667,2200000000
51456826,0.02,137775,1640000000
47035818,0.17,16686,3160000000
54275,0.06,11,1980000000
45116096,0.13,27730,2150000000
89828469,0.15,47326,2110000000
54941692,0.19,16064,1820000000
9349273,0.17,3299,2280000000
16405405,0.25,43056,1.74E+11
22206277,0.19,6396,2160000000
32878966,0.09,17369,1950000000
712018,0.18,178,1850000000
13756280,0.19,35136,2350000000
29373550,0.24,18232,2110000000
66250424,-0.04,9577,6500000000
8288427,0.23,652,1950000000
38357248,0.15,10062,2010000000
14859640,0.19,1851,2180000000
2357327,0.15,614,1860000000
4323119,0.03,499,1970000000
157306003,0.01,260106,1.90E+11
67831301,0.14,27572,1620000000
3293471,0.21,2010,2060000000
244227,0.15,25,1940000000
22431405,0.16,1781,2400000000
917472,0.23,262,1780000000
1108062,0.23,180,1750000000
2584469,0.18,479,1880000000
20959724,0.1,5970,1850000000
1572609,0.04,745,1580000000
55599905,0.15,71018,1820000000
41387331,0.17,8921,1560000000
1128279,0.23,255,1680000000
7607,0,1,2100000000
342151,0.13,48,1620000000
82017434,0.06,32339,3500000000
168091,0.29,26,1660000000
9777096,0.1,3693,1550000000
177567,0.08,70,1500000000
177729,0.23,29,1780000000
75912440,0.33,30370,1390000000
543894,0.16,51473,1450000000
38793097,0.25,521,1470000000
35680988,0.13,1109,1270000000
