Movie,Total Comments
1920 London,1812
8 x 10 Tasveer,52
Apaharan,5
Tezz,199
Har Dil Jo Pyar Karega,14
Guardians of the Galaxy Vol. 3,39442
Badal,9
Deewane Huye Paagal,129
Tere Naam,174
Dev.D,7
Saathiya,202
Ghatak,1
Mela,24
Zanjeer,458
Haseena Maan Jaayegi,27
Saala Khadoos,53
Murder,2055
Baadshah,5
Koyla,5
Jhund,8100
Freaky Ali,4419
Hamara Dil Aapke Paas Hai,13
Fiza,0
Gulaab Gang,1088
Khiladiyon Ka Khiladi,5
Maine Pyar Kiya,123
Bhoot,14948
Apna Sapna Money Money,0
Humko Deewana Kar Gaye,389
Satyameva Jayate 2,71013
Yuva,11949
Satya,15
Teraa Surroor,3464
Dhadkan,11
Hindustan Ki Kasam,0
Bewakoofiyaan,554
Judaai,6356
Bandit Queen,4
Hum Tumhare Hain Sanam,188
Ant-Man and the Wasp: Quantumania,33866
Khamoshiyan: Silences Have Secrets,0
Dhan Dhana Dhan Goal,1282
Great Grand Masti,8
Saajan Chale Sasural,10
Company,66
Chup Chup Ke,753
Aankhen,27
Deewana Mastana,176
Hunterrr,432
Hate Story,3
Babumoshai Bandookbaaz,2389
Ghulam,12
India's Most Wanted,7571
Bbuddah...Hoga Terra Baap,15
Maa Tujhhe Salaam,8725
Judwaa,55
Paheli,527
Shaadi Mein Zaroor Aana,7219
Major Saab,9
Major,24353
Ujda Chaman,16546
Khuda Haafiz Chapter II,504
Phone Bhoot,150
Mujhse Dosti Karoge!,644
China Gate,1
Halla Bol,2
Dulhe Raja,5
Kyon Ki,17
Gangster,100
Coolie No. 1,198677
Manjhi - The Mountain Man,4327
God Tussi Great Ho,7
Heroes,506
Hungama,21558
Hera Pheri,9
Made In China,9321
Mere Dad Ki Maruti,317
Kya Kehna,35
Mohra,0
Khalnayak,2
Bandhan,122
Bunty Aur Babli 2,11721
Paan Singh Tomar,3
Yamla Pagla Deewana Phir Se,10067
Fanney Khan,9353
Pyare Mohan,910
Chup,15715
Ek Aur Ek Gyarah,2
Ab Tumhare Hawale Watan Saathiyo,2
Bobby Jasoos,440
Chal Mere Bhai,1
Beta,928
A Wednesday!,84
Loveyatri,11990
Asoka,16400
Arjun Pandit,0
Deewangee,7
Vaastav: The Reality,1
Chachi 420,
An Action Hero,14368
