Movie,Views,Sentiment,Total BO Collection
Pathaan Trailer | Shah Rukh Khan | Deepika Padukone | John Abraham | Siddharth A | YRF Spy Universe,99879481,0.000642174,10500000000
Baahubali 2 - The Conclusion | Official Trailer (Hindi) | S.S. Rajamouli | Prabhas | Rana Daggubati,127391192,0.107667464,17880000000
KGF Chapter 2 Trailer|Hindi|Yash|Sanjay Dutt|Raveena Tandon|Srinidhi|Prashanth Neel|Vijay Kiragandur,121621069,0.0175,12080000000
"Dangal | Official Trailer | Aamir Khan | In Cinemas Dec 23, 2016",72274385,0.106587963,20700000000
Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June,77884547,0.005263158,5880000000
PK Official Teaser Trailer 1 (2014) - Comedy Movie HD,5895611,0.162291667,7920000000
Tiger Zinda Hai | Official Trailer | Salman Khan | Katrina Kaif | Ali Abbas Zafar | YRF Spy Universe,108208739,0.03,5580000000
"Bajrangi Bhaijaan | Official Trailer with English Subtitles| Salman Khan, Kareena Kapoor, Nawazuddin",9181263,0.235,9220000000
Fighter - Teaser | Hrithik Roshan | Deepika Padukone | Anil Kapoor | Siddharth Anand | 25 Jan 2024,3951384,0.2125,4710000000
Padmaavat | Official Trailer | Ranveer Singh | Shahid Kapoor | Deepika Padukone,65239587,0.21375,5850000000
"Sultan | Official Trailer | Salman Khan, Anushka Sharma | Ali Abbas Zafar | New Movie Trailer",48973980,0.058611111,6270000000
"Kabir Singh – Official Teaser | Shahid Kapoor, Kiara Advani | Sandeep Reddy Vanga | 21st June 2019",32263156,0.289791667,3770000000
"Tanhaji: The Unsung Warrior - Official Trailer | Ajay D, Saif Ali K, Kajol | Om Raut | 10 Jan 2020",81786231,0.091666667,3610000000
"RRR Trailer (Telugu) - NTR, Ram Charan, Ajay Devgn, Alia Bhatt | SS Rajamouli | 25th March 2022",83099504,0.082226339,12300000000
DHOOM:3 | Official Trailer | Aamir Khan | Abhishek Bachchan | Katrina Kaif | Uday Chopra,35576819,0.066666667,5580000000
The Kashmir Files | Official Trailer I Anupam I Mithun I Darshan I Pallavi I Vivek I 11 March 2022,53023025,0.129944444,3410000000
BRAHMĀSTRA OFFICIAL TRAILER | Hindi | Amitabh | Ranbir | Alia | Ayan | In Cinemas 9th September,32014917,0.022364211,4310000000
"URI | Official Trailer | Vicky Kaushal, Yami Gautam, Paresh Rawal | Aditya Dhar | 11th Jan 2019",29875112,0.055430556,3410000000
"Simmba | Official Trailer | Ranveer Singh, Sara Ali Khan, Sonu Sood | Rohit Shetty | December 28",85608221,0.024375,3900000000
Drishyam 2: OFFICIAL TRAILER | Ajay Devgn Akshaye Khanna Tabu Shriya Saran Abhishek Pathak Bhushan K,19640395,0.110451299,3420000000
"Kick - Official Trailer | Santhanam, Tanya Hope | Prashant Raj | Arjun Janya",2830691,0.065,3780000000
"&quot;Krrish 3 Trailer&quot; Official | Hrithik Roshan, Priyanka Chopra, Vivek Oberoi",4928221,0.03125,3740000000
OFFICIAL TRAILER   Chennai Express Trailer   Shah Rukh Khan &amp; Deepika Padukone,561571,0.161559066,4220000000
BHARAT | Official Trailer | Salman Khan | Katrina Kaif | Movie Releasing On 5 June 2019,77824330,0.235,3210000000
Housefull 4 |Official Trailer|Akshay|Riteish|Bobby|Kriti S|Pooja|Kriti K|Sajid N|Farhad| Oct 25,124449720,0.14,2960000000
Prem Ratan Dhan Payo Official Trailer | Salman Khan &amp; Sonam Kapoor | Sooraj Barjatya,27596968,0.312833333,4050000000
Golmaal Again | Official Trailer | Rohit Shetty | Ajay Devgn,42302553,0.162708333,3080000000
"Good Newwz - Official Trailer | Akshay, Kareena, Diljit, Kiara | Raj Mehta | In cinemas 27th Dec",96672251,0.141833333,3160000000
Mission Mangal | Official Trailer | Akshay | Vidya | Sonakshi | Taapsee | Dir: Jagan Shakti | 15 Aug,52876372,0.2575,2900000000
3 Idiots | OFFICIAL trailer #1 US/indian (2009),4796583,0.062708333,4600000000
Exclusive: Happy New Year Official Trailer | Shahrukh Khan | Deepika Padukone,9407096,0.115135281,3970000000
Ek Tha Tiger | Official Trailer | Salman Khan | Katrina Kaif | Kabir Khan | YRF Spy Universe,16858232,0.155833333,3200000000
"Sooryavanshi | Official Trailer | 5th Nov | Akshay, Ajay, Ranveer, Katrina | Rohit Shetty",112861018,0.097083333,2930000000
Inside Out 2 | Teaser Trailer,17016913,0.110947682,7440000000
"Yeh Jawaani Hai Deewani - Official Trailer | Ranbir Kapoor, Deepika Padukone",10746456,0.30464881,3180000000
"Bhool Bhulaiyaa 2 (Trailer) Kartik A, Kiara A, Tabu | Anees B, Bhushan K, Murad K, Anjum K, Pritam",83050738,0.267541667,2650000000
Bajirao Mastani Official Trailer | Watch Full Movie On Eros Now,19487324,0.387569444,3620000000
"BANG BANG! Official Teaser | Hrithik Roshan, Katrina Kaif",17697375,0,3400000000
Race 3 | Official Trailer | Salman Khan | Remo D&#39;Souza | Releasing on 15th June 2018 | #Race3ThisEID,68156543,0.276818182,3000000000
Baaghi 2 Official Trailer | Tiger Shroff | Disha Patani | Sajid Nadiadwala | Ahmed Khan,96230399,0.24625,2570000000
Shah Rukh Khan In &amp; As Raees | Trailer | Releasing 25 Jan,75913445,0.182675439,2850000000
Kesari | Official Trailer | Akshay Kumar | Parineeti Chopra | Anurag Singh,60096538,0.18,2080000000
Total Dhamaal | Official Trailer | Ajay | Anil | Madhuri | Indra Kumar | Feb. 22nd,89832204,0.141966991,2320000000
"Dabangg 2 Official Theatrical Trailer | Salman Khan, Sonakshi Sinha",6536481,0.135275,2650000000
Chhichhore | Official Trailer | Nitesh Tiwari | Sushant | Shraddha | Sajid Nadiadwala | 6th Sept,51375822,0.225714286,2110000000
Tanu Weds Manu Returns Official Trailer | Watch Full Movie On Eros Now,12165466,0.182152778,2580000000
