Movie,Views,Sentiment,Total BO Collection
Varisu - Official Trailer | Thalapathy Vijay | Rashmika | Vamshi Paidipally | Dil Raju | S.Thaman,52744157,0.0075,2970000000
Tango Charlee Hindi movie trailor,60387,0.1623376623376623,120000000
Main Khiladi Tu Anari_Trailer,17398,0.4857552083333333,130000000
Talaash - The Hunt Begins {HD} - Akshay Kumar - Kareena Kapoor - Hindi Full Movie,28125255,0.06666666666666668,140000000
Ram Gopal Varma Ki Aag - trailer,48908,-0.03684210526315788,130000000
"Kyo kii..Main Jhuth Nahin Bolta | Full Comedy Hindi Movie | Bollywood Movie | Govinda, Sushmita Sen",1768418,0.25749999999999995,130000000
Marvel Studios’ Eternals | Final Trailer,46337641,0.08229166666666668,13000000000
"Gumraah | Official Trailer | Aditya Roy Kapur, Mrunal Thakur | Netflix India",1195754,0.17658333333333331,90000000
"Ishq Vishq - Official Trailer - Shahid Kapoor, Amrita Rao &amp; Shahnaz Treasuryvala",363991,0.17599837662337664,100000000
"Yeh Raaste Hain Pyaar Ke (FULL HD) - Romantic Hindi Movie l Ajay Devgan, Madhuri Dixit, Preity Zinta",15792083,0.13157894736842105,140000000
PREM GRANTH,180072,0.26071428571428573,130000000
"TERE MERE SAPNE 1996 ( Hindi ) II Brother and Sister Masala Comedy Scene II Arshad Warsi, Priya Gill",3517,0,130000000
Dus Kahaniyaan (Uncut Official Trailer) | Jimmy Shergill &amp; Masumeh Makhija,26133,0.0,120000000
Kaalakaandi | Official Trailer | Saif Ali Khan | Akshat Verma | Sobhita Dhulipala,226417,0.14833333333333334,0
"ONE, TWO, THREE (Masters of Cinema) New &amp; Exclusive HD Trailer",23884,0.20833333333333334,0
Kya Yehi Pyaar Hai - Official Trailer - Aftab &amp; Amisha,545483,0.26008333333333333,120000000
777 Charlie - Official Trailer | Rent Now On Prime Video Store | Rakshit Shetty | Kiranraj K,2497667,0.17375000000000002,1020000000
"Joru Ka Ghulam -Blockbuster Bollywood Hindi Film| Govinda, Twinkle Khanna, Kader Khan| जोरू का गुलाम",20495693,-0.0032051282051282063,120000000
Jis Desh Mein Full Video Song | Jis Desh Mein Ganga Rehta Hain | Govinda Hit Songs | Hindi Gaane,7618494,0.3400000000000001,120000000
"The Road - Official Trailer | Trisha, Dancing Rose Shabeer, Santhosh Prathap |Arun Vaseegaran|Sam CS",11863079,0.1786111111111111,120000000
IB 71 | Official Trailer | Sankalp Reddy | Vidyut Jammwal | Anupam Kher,17330174,0.04449242424242424,90000000
Bank Chor | Official Trailer | Riteish Deshmukh | Vivek Anand Oberoi | Rhea Chakraborty,7235662,0.04333333333333333,100000000
Azaadi Ka Jashn | The Legend of Bhagat Singh | Happy Independence Day India | Amazon Prime Video,80225,0.18989718614718615,110000000
Baazigar 1993 Trailer,22088,0.03333333333333333,130000000
Main Aurr Mrs Khanna - Theatrical Trailer,16870,0,140000000
Zeher (2005) Seens,45548,0.16782407407407407,100000000
"DEEWANA (1992) Hindi Trailer | Shah Rukh Khan, Rishi Kapoor, Divya Bharti | Bollywood Hindi Movie",15575,0.3333333333333333,130000000
Amar Akbar Anthony Theatrical Trailer | Ravi Teja | Ileana | Sreenu Vaitla | Thaman | Sreenu Vaitla,8327372,0.11666666666666667,0
Godzilla vs. Kong – Official Trailer,106202346,0.12140151515151514,25000000000
Marvel Studios’ Shang-Chi and the Legend of the Ten Rings | Official Trailer,32164895,0.2098948412698413,9300000000
Aap Ki Khatir - trailer,58612,-0.1422154017857143,140000000
Raman Raghav 2.0 | Official Trailer | Nawazuddin Siddiqui &amp; Vicky Kaushal | Releasing 24th June 2016,9280929,0.14138888888888887,100000000
"जाल द ट्रैप | Jaal: The Trap - Full Movie | Sunny Deol, Tabu &amp; Amrish Puri | Action Movie",44707326,0.16935714285714284,110000000
"Dil Se Trailer  | Raja Vikram, Varsha | Bharath Naren | An ETV Win Original Webseries | Sep 16th",1239610,0.17293526785714286,170000000
Knockout (2011) Trailer,740021,-0.11192294973544972,100000000
"Hindi Movie - Laadla 1994 - Anil Kapoor, Sridevi, Raveena | Trailer | Full Movie Link in Description",8876659,0.11156250000000001,120000000
teaser of kalyug.........,119761,0.24944047619047618,90000000
"Chocolat | Official Trailer (HD) - Johnny Depp, Judi Dench | MIRAMAX",1179270,0.23522556446821158,100000000
Akelehum Akeletum trailer,11601,0.4075,120000000
Suhaag 1994  Official Trailer  Ajay Devgan  Akshay Kumar  Karisma Kapoor  NH Studioz,22090,0,120000000
Khamoshi The Musical | Hindi Full Movie | Salman Khan | Manisha Koirala | Nana Patekar,3652743,0.35219298245614034,140000000
VENOM: LET THERE BE CARNAGE - Official Trailer 2 (HD),51476429,0.052972067808493596,14600000000
"Goodbye - Official Trailer | Amitabh B, Rashmika M | Ektaa K | Vikas B | In Cinemas 7th Oct 2022",27435780,0.12261904761904763,100000000
Prassthanam - Official Trailer | Sanjay Dutt | Jackie Shroff | Deva Katta | 20th September 2019,5479764,0.095,100000000
Sapoot - Trailer,249204,0.2997222222222223,120000000
Jeena Sirf Merre Liye - Karan aur Puja...Take 2 | Tusshar Kapoor | Kareena Kapoor,73198,0.26166666666666666,120000000
"Deewane (HD)Bollywood Blockbuster Hindi Film| Ajay Devgn, Urmila Matondkar, Mahima Chaudhry | दीवाने",11888608,0.11499999999999999,120000000
JioCinema Film Festival - Armaand | Rajat Kapoor | Arjan Aujla | Streaming Free,2453496,0.0,130000000
Trailer DIL NE JISE APNA KAHA_RO.mpg,93074,0.12166666666666666,120000000
"Sonchiriya | Official Trailer | Sushant, Bhumi P,  Manoj B, Ranvir S | Abhishek C | 1st March 2019",21507973,0.2621428571428571,80000000
Kahin Pyaar Na Ho Jaye (HD) Full Movie | Salman Khan | Rani Mukerji | Latest Bollywood Hindi Movies,147238423,0.1068421052631579,130000000
"Sooryavanshi | Official Trailer | 5th Nov | Akshay, Ajay, Ranveer, Katrina | Rohit Shetty",112861052,0.09708333333333334,120000000
"Bhaiaji Superhit - Official Trailer | Sunny Deol, Preity Zinta, Arshad Warsi &amp; Shreyas T | Bhaiyaji",12200055,0.0475,80000000
"Daraar | Premiere on 10th August | Ft. Amar Khan, Syed Jibran, Momal Sheikh | 7th Sky Entertainment",76490,0.28500000000000003,100000000
Be All You Can Be - U.S. Army&#39;s new brand trailer | U.S. Army,307292,0.005941468253968252,110000000
Vijaypath trailer,38406,0.3077777777777778,110000000
Blank - Official Trailer (2022),396515,0.08425529100529101,80000000
"Chef Official Trailer #1 (2014) - Scarlett Johansson, Robert Downey Jr. Movie HD",7112432,0.21390625000000002,100000000
Calendar Girls Official Trailer!,317986,0.40637335526315793,80000000
"Dilwale Trailer | Kajol, Shah Rukh Khan, Varun Dhawan, Kriti Sanon | A Rohit Shetty Film",42301497,0.2032916666666667,120000000
MAHARAJA Vijay Sethupathi teaser | Passion studio | Maharaja First Look | Maharaja movie trailer,7647,0.0,100000000
